luminance,percentage
7,0.10000000149011612
10,44.900001525878906
14,0.10000000149011612
64,0.10000000149011612
68,0.30000001192092896
70,0.30000001192092896
71,0.10000000149011612
72,0.20000000298023224
73,0.10000000149011612
74,0.800000011920929
75,0.30000001192092896
76,0.30000001192092896
77,0.30000001192092896
78,0.30000001192092896
79,0.5
135,0.20000000298023224
138,0.6000000238418579
142,0.10000000149011612
192,0.30000001192092896
193,0.6000000238418579
194,1.399999976158142
195,1.600000023841858
196,1.7999999523162842
197,1.600000023841858
198,2.5
199,1.5
200,4.300000190734863
201,4.400000095367432
202,7.5
203,7.199999809265137
204,4.800000190734863
205,3.700000047683716
206,3.200000047683716
207,3.799999952316284
